번호, 기사 제목, 기사 요약, 링크
0, 비용 절감 시대...사람 대신할 AI·자동화 기술 실전 투입 확산, [디지털투데이 황치규 기자]경기 위축 속에 기업들 IT 투자도 보수적으로 바뀌었지만 가급적 사람을 안 쓰고도 생산성을 강화하거나 성장을 지원하는..., https://www.digitaltoday.co.kr/news/articleView.html?idxno=469700
1, '오아시스' 흑자 비결은 물류 자동화… e커머스 1호 상장 시동, "오아시스의 캐치프라이즈는 '사랑 받는 오아시스'다. 단기보다는 중장기적으로 성장해나가며 많은 분들에게 사랑 받는 오아시스가 되기 위해 최선을..., https://it.chosun.com/site/data/html_dir/2023/02/08/2023020802317.html
2, 한국네트웍스 hy에 물류 자동화 솔루션 공급, 쿠팡의 로켓배송 비결은 물류센터를 누비는 로봇을 비롯한 자동화 덕분이다. 지난 2일 외부에 처음 공개된 쿠팡 대구풀필먼트센터(대구FC)는 로켓배송..., https://www.yna.co.kr/view/AKR20230207048900003
3, 한국네트웍스 hy 논산 물류센터에 자동화 솔루션 공급, [파이낸셜뉴스] 쿠팡의 로켓배송이 더 빠르고 편해질 전망이다. 수도권 뿐만 아니라 영호남권에서도 당일 혹은 익일 배송받아 볼 수 있는 품목이 더..., https://www.getnews.co.kr/news/articleView.html?idxno=615546
4, 한국네트웍스 hy에 120억 규모 `물류 자동화 시스템` 구축, GC녹십자는 9일 충북 오창 '통합완제관'이 세계보건기구(WHO)의 사전적격성평가(PQ Pre-Qualification) 인증을 받았다고 밝혔다., http://www.dt.co.kr/contents.html?article_no=2023020702109932031008
5, 쿠팡 물류센터 누비는 로봇…로켓배송 비결은 '자동화', 광양제철소가 제강(고로에서 생산된 쇳물의 불순물을 제거하는 과정) 공정의 시각을 자동적으로 관리해주는 스케줄러 시스템인 P..., https://www.etnews.com/20230207000264
6, [현장르포] 분류부터 운반까지 로봇 자동화... 로켓배송 더 빨라진다, [편집자주] 스타트업(start-up)은 특정한 문제를 해결하기 위해서 '시작하는' 기업을 말합니다. 기업의 생사가 걸려있는 만큼 스타트업은 문제에 대한..., https://www.fnnews.com/news/202302061421449157
7, GC녹십자 ‘오창 통합완제관’ WHO 인증… 공정 자동화 실현, 쿠팡 지난해 3월 최첨단 자동화 물류 센터 준공 / 전국 물류 센터 백여 개…지난해 처음 분기 흑자 / 이커머스 '총알 배송' 경쟁…, https://www.donga.com/news/It/article/all/20230209/117806463/1
8, 광양제철소 제강 공정 시각 관리 자동화 PTX 시스템 독자 개발 - 서울경제, 대부분의 현대적인 프로그래밍 언어는 가비지 컬렉션(garbage collection 쓰레기 수집)을 사용한다. 가비지 컬렉션 알고리즘의 개념을., https://www.sedaily.com/NewsView/29LO7JFU7C
9, [스타트업 리뷰] 리눅스·윈도 등 IT장비 비밀번호 변경 RPA로 자동화한다 인포플라의 아이톰스, 유진로봇이 오는 2023년 3월 8일부터 10일까지 서울 코엑스에서 열리는 스마트공장·자동화산업전 2023(Smart Factory+Automation World 2023 이하 SF+AW..., https://www.donga.com/news/It/article/all/20230208/117796392/1
