번호, 기사 제목, 기사 요약, 링크
0, LS일렉트릭 국내 첫 산업자동화 R&D 보안 획득, 주력 사업인 데이터센터 스마트공장 자동화 솔루션 공급 속도를 높인다는 방침이다. LS일렉트릭은 최근 글로벌 시험인증기관 '티유브이 슈드(TUV SUD)'로부터 산업 자동화 제품 개발 등에 대한 'IEC 62443-4-1 정보 보안..., http://www.newsis.com/view/?id=NISX20230206_0002181691&cID=13001&pID=13000
1, LS일렉트릭 국내 최초로 산업자동화 R&D 보안 국제인증 획득, 글로벌 시험인증기관 'TUV SUD'는 최근 LS일렉트릭의 PLC(제어 장치)와 인버터 등 산업 자동화 제품 개발... 최근 산업 자동화 솔루션은 네트워크 연결성이 강화되면서 잠재적 사이버 위협이 증대되고 있다. LS일렉트릭은..., http://news.mt.co.kr/mtview.php?no=2023020608475673829
2, [피스앤칩스]반도체 생산 자동화 돕는 'OHT'…日 독주서 韓 제품 확대, OHT가 단순 작업을 하는 것처럼 보여도 공장 자동화를 이끄는 핵심 장비입니다. 보통 완제품이 나오기까지 수백 개 공정을 거치기에 이동 작업도 수십만 건 발생하는데요 인간이 다 처리하려 했다면 필요한 노동력과..., https://view.asiae.co.kr/article/2023020601115719602
3, 코윈테크 노칭장비 개발...자동화 설비서 사업 영역 확대, 코윈테크 충남 아산 본사 [사진: 디지털투데이] 코윈테크가 자동화설비에서 배터리 공정 장비로... 코윈테크는 기존 배터리 자동화설비에서 공정장비로의 영역 확대를 위해 지난 2021년 10월 공정 장비 사업 조직을..., http://www.digitaltoday.co.kr/news/articleView.html?idxno=469654
4, 씨마켓플레이스 임산물 수입권공매를 전자구매시스템으로 자동화, 온라인으로 자동화하면서 디지털 전환(DT)의 우수사례로 평가받고 있다. 지난 1월 첫 시범 공고로 199개 업체를... 온라인으로 자동화하는 데 성공했다. 씨마켓은 이미 다년간 농협경제지주와 농협사료 목우촌 등에 공식..., https://www.mk.co.kr/article/10631798
5, [해군보급창] 자동화 관리체계 탑재 유류탱크 운용, “신형 유류탱크 유류 공급 최단 시간 완수” 해군군수사령부 보급창 자동화 관리체계 탑재 첫 운용... 사진 제공=김미진 중사 해군군수사령부 보급창은 6일 진해군항 내 앞산 유류지원대에서 유류 관리체계가..., http://kookbang.dema.mil.kr/newsWeb/20230206/5/ATCE_CTGR_0010040000/view.do
6, 김해공항 국내선 ‘수화물 위탁 자동화 기기’ 시범운영, 한국공항공사가 김해공항 국내선 여객청사에 승객이 수화물을 직접 위탁하는 자동화 기기 운영에 들어갑니다. 자동 수화물 위탁 기기는 수화물을 맡기는 별도의 카운터에서 직원 도움 없이 탑승객 스스로 항공권 발권부터..., https://news.kbs.co.kr/news/view.do?ncd=7598213&ref=A
7, Iwis 자동화 설비 투자 '체인 투자 '생산 효율성 ↑', 생산 자동화에 대규모 투자를 했다. JWIS 브랜드 어큐뮬레이션 체인 생산을 위해 내부 및 외부 링크를 위한 새로운 자동 기계가 가동됐고 체인 조립도 더욱 자동화됐다. 어큐뮬레이션 체인_안정적인 생산을 위한..., http://www.kidd.co.kr/news/231237
8, 미도리마케팅 24시간 자동화 셀프 마케팅 서비스 출시, 광고 대행사 '미도리마케팅'이 최근 24시간 자동화 셀프 마케팅 서비스를 출시했다고 밝혔다. 미도리마케팅이 시행하는 자동화 셀프 마케팅 서비스는 최고의 서비스와 효과를 선사하기 위해 광고주들의 입맛대로 원하는..., https://www.itbiznews.com/news/articleView.html?idxno=89504
9, 레드햇 구글 클라우드에도 IT자동화 솔루션 '앤서블 오토메이션 플랫폼' 투입, IT 자동화 솔루션으로 사용자들은 앤서블 오토메이션 플랫폼을 그대로 구글 클라우드에서 사용할 수 있다. 구글 클라우드 마켓플레이스에서 사용할 수 있는 앤서블 자동화 플랫폼은 자체 배포를 간소화해 처음부터..., http://www.digitaltoday.co.kr/news/articleView.html?idxno=469641
